,num_votes,rating,tconst,title,year
0,1678989,9.3,tt0111161,The Shawshank Redemption,1994
1,1148746,9.2,tt0068646,The Godfather,1972
2,785572,9.0,tt0071562,The Godfather: Part II,1974
3,1664146,9.0,tt0468569,The Dark Knight,2008
4,859314,8.9,tt0108052,Schindler's List,1993
5,444183,8.9,tt0050083,12 Angry Men,1957
6,1316045,8.9,tt0110912,Pulp Fiction,1994
7,1208149,8.9,tt0167260,The Lord of the Rings: The Return of the King,2003
8,500294,8.9,tt0060196,"The Good, the Bad and the Ugly",1966
9,1338132,8.8,tt0137523,Fight Club,1999
10,1231378,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
11,831801,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980
12,1241739,8.8,tt0109830,Forrest Gump,1994
13,1457637,8.8,tt1375666,Inception,2010
14,1093462,8.7,tt0167261,The Lord of the Rings: The Two Towers,2002
15,675870,8.7,tt0073486,One Flew Over the Cuckoo's Nest,1975
16,723821,8.7,tt0099685,Goodfellas,1990
17,1209964,8.7,tt0133093,The Matrix,1999
18,227710,8.7,tt0047478,Seven Samurai,1954
19,905241,8.7,tt0076759,Star Wars: Episode IV - A New Hope,1977
20,530119,8.7,tt0317248,City of God,2002
21,1016476,8.6,tt0114369,Se7en,1995
22,881038,8.6,tt0102926,The Silence of the Lambs,1991
23,274042,8.6,tt0038650,It's a Wonderful Life,1946
24,736173,8.6,tt0114814,The Usual Suspects,1995
